date,regime,investable,reasons,top_abs_pct,top_fund_abs_pct,stop_fund_abs_pct,top_alpha_pct,ic,baseline_abs_pct,mom20_pct,pctile,n_funds
2021-01-04,BULL,False,250日涨幅分位98%>90.0%,-16.716,"-18.93,-12.56,-14.82,-22.16,-15.11","-20.40,-19.66,-10.73,-9.52,0.48",-13.153,-0.5975,-2.936,3.98,97.6,598
2021-02-01,BULL,False,250日涨幅分位95%>90.0%,2.061,"0.67,2.49,0.13,3.00,4.02","4.61,-18.41,-18.55,0.52,-0.67",7.18,0.4163,-3.967,2.85,94.8,597
2021-03-08,NEUTRAL,False,指数20日动量-6.2%<-3.0%,4.991,"1.48,1.42,4.37,17.16,0.53","7.14,7.10,-3.74,8.57,5.60",6.644,-0.1995,2.297,-6.23,80.9,528
2021-04-06,NEUTRAL,False,250日涨幅分位97%>90.0%,9.695,"14.36,14.04,11.04,-1.85,10.88","-10.85,-2.19,4.90,2.63,-26.38",6.934,0.2235,1.957,1.19,97.5,598
2021-05-07,NEUTRAL,True,,2.422,"7.62,-2.00,3.88,1.00,1.60","2.25,-0.67,-4.78,6.91,9.29",0.626,-0.3685,7.101,-2.81,88.8,599
2021-06-04,BULL,False,250日涨幅分位95%>90.0%,17.842,"20.63,-12.83,33.23,23.41,24.78","-6.65,2.29,-22.00,2.96,-20.52",24.44,0.3691,13.438,5.73,95.2,598
2021-07-05,NEUTRAL,False,指数20日动量-3.7%<-3.0%,30.354,"34.03,28.78,41.55,19.36,28.06","-18.22,-14.11,-10.10,-22.49,-2.77",35.713,0.5446,4.624,-3.72,66.8,600
2021-08-02,BEAR,True,,-11.784,"-10.33,-18.62,-3.48,-15.68,-10.81","-17.27,-24.79,-3.75,-12.54,-16.91",-9.761,-0.3037,-5.239,-2.99,38.0,599
2021-08-30,BEAR,True,,-9.774,"-7.36,-5.86,-14.96,-16.88,-3.81","-22.12,-7.23,-17.04,9.29,-3.91",-9.937,-0.4538,-0.679,-2.44,33.9,596
2021-09-29,BEAR,True,,1.618,"-0.22,-0.13,5.71,2.87,-0.15","-2.36,0.93,-5.53,-1.01,1.23",1.413,-0.1492,6.732,0.43,35.9,582
2021-11-03,BEAR,True,,3.642,"2.53,2.16,3.58,4.23,5.71","-7.12,-25.44,-10.80,-1.16,-3.65",2.349,0.2028,0.882,-0.27,27.9,599
2021-12-01,BEAR,True,,-10.308,"3.45,-13.32,-15.72,-10.17,-15.78","4.79,-14.88,-11.26,-18.36,-11.28",-5.684,0.1234,-7.248,0.47,21.2,598
2021-12-29,BEAR,True,,-7.356,"-11.86,-15.61,2.51,2.63,-14.44","-7.78,2.27,2.24,2.29,4.40",-0.56,0.2528,-3.589,0.82,18.0,600
2022-01-27,BEAR,False,指数20日动量-5.4%<-3.0%,0.128,"0.08,0.16,0.07,0.18,0.15","0.09,0.06,0.13,0.08,0.07",8.727,0.4763,-8.921,-5.4,4.5,574
2022-03-03,BEAR,True,,1.477,"18.60,-1.81,-7.77,-1.09,-0.54","1.98,6.12,2.29,5.05,7.66",13.372,0.4868,-14.667,-1.48,2.4,598
2022-03-31,BEAR,False,指数20日动量-7.2%<-3.0%,-4.177,"0.26,-16.45,0.97,-7.19,1.52","0.04,10.56,2.98,5.16,3.33",-1.027,-0.1224,-0.154,-7.23,3.3,597
