date,regime,investable,reasons,top_abs_pct,top_fund_abs_pct,stop_fund_abs_pct,top_alpha_pct,ic,baseline_abs_pct,mom20_pct,pctile,n_funds
2021-01-04,BULL,True,,-18.642,"-25.98,-14.82,-13.62,-16.64,-22.16","-9.89,-10.73,-16.85,-21.13,-9.52",-15.079,-0.6344,-5.266,3.98,97.6,596
2021-02-01,BULL,True,,2.538,"-1.84,2.49,0.54,0.53,10.98","-6.88,-18.41,5.34,5.34,2.52",7.657,0.4494,-8.42,2.85,94.8,600
2021-03-08,NEUTRAL,True,,1.124,"-0.91,4.37,0.53,0.36,1.27","1.74,-3.74,5.60,5.32,4.61",2.777,-0.2158,0.121,-6.23,80.9,509
2021-04-06,NEUTRAL,True,,9.955,"5.60,19.83,-1.85,10.84,15.35","-18.53,-13.58,2.63,-26.39,-4.78",7.194,0.234,5.24,1.19,97.5,599
2021-05-07,NEUTRAL,True,,0.135,"5.47,1.00,-3.30,1.67,-4.16","8.54,6.91,6.79,9.32,4.04",-1.661,-0.3113,4.061,-2.81,88.8,599
2021-06-04,BULL,True,,28.899,"34.88,33.23,23.27,24.70,28.41","-12.17,-22.00,3.02,-20.86,-8.46",35.497,0.3366,4.63,5.73,95.2,598
2021-07-05,NEUTRAL,True,,17.85,"12.35,36.27,20.53,-1.48,21.58","-18.34,-15.69,-12.17,-22.89,-18.76",23.209,0.526,3.69,-3.72,66.8,596
2021-08-02,BEAR,False,BEAR(收盘<EMA250),-10.373,"-18.55,-10.81,-3.59,-8.08,-10.83","-24.76,-16.91,-14.05,-29.24,-16.21",-8.35,-0.3179,-4.648,-2.99,38.0,598
2021-08-30,BEAR,False,BEAR(收盘<EMA250),-11.27,"-16.82,-3.81,-8.64,-19.04,-8.04","9.32,-3.91,-19.63,8.50,-12.15",-11.433,-0.4047,2.051,-2.44,33.9,596
2021-09-29,BEAR,False,BEAR(收盘<EMA250),1.59,"0.21,8.93,-1.45,-0.08,0.34","2.29,-6.14,3.33,-2.32,-4.04",1.385,-0.2146,2.457,0.43,35.9,584
2021-11-03,BEAR,False,BEAR(收盘<EMA250),-1.457,"-15.22,-1.51,7.75,-8.42,10.13","-5.91,6.70,-9.01,1.46,6.22",-2.751,0.1941,2.844,-0.27,27.9,598
2021-12-01,BEAR,False,BEAR(收盘<EMA250),-9.986,"-5.08,-6.34,-13.32,-14.16,-11.04","-14.78,-19.26,-14.88,-1.46,-2.13",-5.362,0.0732,-10.127,0.47,21.2,598
2021-12-29,BEAR,False,BEAR(收盘<EMA250),-7.053,"-11.98,-12.21,-8.68,-8.74,6.35","-16.07,2.70,-10.29,-10.31,-22.32",-0.257,0.2957,-8.423,0.82,18.0,598
2022-01-27,BEAR,False,BEAR(收盘<EMA250),-0.119,"-1.03,-0.11,0.62,-0.02,-0.06","7.14,0.10,0.21,0.10,0.08",8.48,0.4853,-4.454,-5.4,4.5,570
2022-03-03,BEAR,False,BEAR(收盘<EMA250),1.321,"13.91,-1.81,1.38,0.14,-7.02","2.29,6.12,4.04,-3.24,5.06",13.216,0.5071,-8.122,-1.48,2.4,599
2022-03-31,BEAR,False,BEAR(收盘<EMA250),1.164,"-14.31,-13.52,17.50,16.28,-0.12","1.96,2.03,1.74,2.25,4.00",4.315,-0.079,-1.624,-7.23,3.3,599
2022-05-05,BEAR,False,BEAR(收盘<EMA250),28.322,"15.10,35.52,38.24,41.50,11.24","-9.52,-26.07,-21.91,-20.49,-6.36",16.938,0.376,14.362,-5.03,0.8,583
2022-06-02,BEAR,False,BEAR(收盘<EMA250),2.483,"9.69,0.71,0.34,1.14,0.53","3.59,-0.28,0.07,0.18,0.08",0.514,0.0684,4.623,1.98,4.1,599
2022-07-01,NEUTRAL,False,BEAR(收盘<EMA250),-7.777,"-7.05,-10.89,-8.86,-3.51,-8.58","-5.29,-17.30,5.72,-19.12,9.07",0.264,-0.1726,-2.329,9.22,13.9,598
2022-07-29,BEAR,False,BEAR(收盘<EMA250),-8.084,"-10.91,-4.93,-6.82,-9.04,-8.72","-11.83,-19.00,-19.57,5.81,-18.09",-0.089,0.2,-5.046,-6.64,7.7,599
2022-08-26,BEAR,False,BEAR(收盘<EMA250),-6.578,"-14.55,-16.21,-3.24,0.61,0.49","-26.01,5.69,10.88,0.04,0.08",8.001,0.2992,-3.066,-1.5,11.7,598
2022-09-26,BEAR,False,BEAR(收盘<EMA250),-0.123,"-0.33,0.07,-0.06,-0.14,-0.16","0.12,0.10,0.16,0.09,0.08",2.573,-0.1744,-1.815,-6.59,0.9,598
2022-10-31,BEAR,False,BEAR(收盘<EMA250),-5.695,"-0.78,3.36,-10.81,-17.97,-2.27","8.96,4.79,-9.83,-20.89,6.66",-15.237,-0.285,-1.526,-8.55,0.0,560
2022-11-28,BEAR,False,BEAR(收盘<EMA250),1.567,"-0.01,0.54,3.03,3.45,0.84","0.47,-0.25,2.89,3.00,-3.70",-9.78,-0.1388,5.473,6.4,2.3,598
2022-12-26,BEAR,False,BEAR(收盘<EMA250),2.852,"12.27,0.14,1.32,-1.96,2.50","-12.25,0.12,2.99,4.04,-1.61",-3.027,0.0013,6.589,2.95,3.6,598
2023-01-31,BULL,True,,-7.54,"-9.52,-13.53,-18.71,19.63,-15.58","-3.96,-2.85,5.72,-1.40,-17.79",-3.755,-0.073,0.406,8.15,31.9,599
2023-02-28,NEUTRAL,False,BEAR(收盘<EMA250),0.724,"1.34,0.36,0.66,0.64,0.62","0.25,0.06,0.11,-0.05,0.14",3.432,0.1071,-3.499,-2.1,34.0,600
2023-03-28,BEAR,False,BEAR(收盘<EMA250),-5.804,"-8.08,-6.70,1.31,-11.53,-4.01","10.17,-23.27,-15.10,-2.42,-20.15",-1.665,0.2681,-2.594,-1.72,39.5,598
2023-04-26,BEAR,False,BEAR(收盘<EMA250),-0.147,"-2.09,-1.48,1.03,1.13,0.67","-6.50,1.15,0.33,0.26,0.10",2.844,0.2336,-0.726,-1.01,40.5,599
2023-05-29,BEAR,False,BEAR(收盘<EMA250),-0.766,"-2.28,8.83,-11.40,0.45,0.56","-10.65,-17.97,2.49,0.07,0.10",-2.672,-0.2592,-0.303,-3.16,40.5,599
2023-06-28,BEAR,False,BEAR(收盘<EMA250),0.608,"-0.10,0.76,0.65,0.81,0.92","0.46,0.09,0.10,0.11,0.17",4.362,0.4575,-5.299,0.18,36.7,598
2023-07-26,NEUTRAL,False,BEAR(收盘<EMA250),-1.882,"-6.21,-4.35,4.96,0.48,-4.29","2.00,7.97,1.74,9.25,14.35",3.271,0.6969,-9.751,1.72,40.8,597
2023-08-23,BEAR,False,BEAR(收盘<EMA250),-0.253,"-0.19,-0.69,0.01,-0.11,-0.28","0.25,0.26,0.14,0.08,0.12",4.684,0.1273,-5.294,-5.38,36.8,594
2023-09-20,BEAR,False,BEAR(收盘<EMA250),0.246,"0.50,0.26,0.12,0.21,0.14","6.72,0.18,0.25,-0.02,0.11",4.137,-0.2106,-0.55,0.24,41.2,600
2023-10-26,BEAR,False,BEAR(收盘<EMA250),-0.07,"0.39,0.27,0.40,0.58,-2.00","-16.37,0.06,0.30,0.11,-16.64",5.145,-0.0353,-0.901,-5.17,42.7,598
2023-11-23,BEAR,False,BEAR(收盘<EMA250),-10.763,"-1.50,-11.31,-15.90,-16.46,-8.65","-6.95,0.36,-12.63,-0.19,-0.64",-2.572,-0.0729,-8.802,1.35,48.0,599
2023-12-21,BEAR,False,BEAR(收盘<EMA250),2.671,"2.02,1.83,1.84,1.20,6.47","0.27,0.25,0.26,0.06,2.70",-1.007,0.0241,-5.043,-6.48,26.4,599
2024-01-19,BEAR,False,BEAR(收盘<EMA250),-6.266,"-11.93,-11.49,-12.04,2.42,1.71","-6.94,-6.99,-6.89,0.06,0.26",-14.095,-0.0494,4.0,-1.83,17.9,598
2024-02-26,NEUTRAL,False,BEAR(收盘<EMA250),-2.489,"-2.71,-2.41,0.09,-2.07,-5.35","-13.71,-10.72,-9.95,1.20,-13.67",-4.466,-0.1352,1.99,5.61,26.1,598
2024-03-25,NEUTRAL,False,BEAR(收盘<EMA250),5.831,"6.48,7.18,6.77,7.40,1.33","2.88,2.87,2.75,2.95,3.04",2.713,0.3651,5.981,2.1,46.0,600
2024-04-24,NEUTRAL,False,BEAR(收盘<EMA250),-1.637,"-17.42,0.09,3.18,3.25,2.72","-14.13,5.75,6.06,6.10,1.55",0.173,0.2616,-0.615,-0.12,37.5,598
2024-05-27,NEUTRAL,False,BEAR(收盘<EMA250),1.218,"2.67,1.73,1.26,-0.10,0.54","4.87,3.93,-0.86,0.06,0.08",6.604,0.0875,-3.636,3.24,55.7,599
2024-06-25,BEAR,False,BEAR(收盘<EMA250),0.463,"-1.01,-2.01,-0.17,4.85,0.66","4.05,4.11,-3.45,3.15,0.14",4.084,0.419,-4.416,-4.89,52.9,600
2024-07-23,BEAR,False,BEAR(收盘<EMA250),-0.492,"-3.35,1.94,0.84,-2.37,0.48","-3.69,-0.39,0.20,-3.45,0.08",6.597,0.3667,-6.903,-0.52,53.3,600
2024-08-20,BEAR,False,BEAR(收盘<EMA250),1.27,"5.05,0.68,1.77,-0.25,-0.89","5.28,-1.43,0.08,0.25,0.21",-16.617,-0.3974,9.256,-3.12,29.6,600
2024-09-19,BEAR,False,BEAR(收盘<EMA250),1.392,"6.76,0.28,-0.05,-0.18,0.15","5.37,4.34,0.25,0.36,0.16",-23.429,-0.4546,8.637,-4.1,29.2,599
2024-10-24,BULL,True,,-3.503,"-6.27,-5.95,-4.72,-5.52,4.95","-6.89,-6.82,-5.00,-6.88,-5.28",-3.926,0.0557,-0.356,22.93,97.7,600
2024-11-21,BULL,True,,-1.806,"3.22,3.41,-0.76,-0.61,-14.29","2.98,2.89,9.94,1.74,-3.96",2.63,0.1178,-2.305,1.54,98.3,598
2024-12-19,BULL,True,,8.603,"13.21,-3.53,-2.67,16.89,19.10","-27.41,-14.61,-17.38,-21.97,-24.22",7.988,-0.1139,4.048,-1.1,99.7,600
2025-01-17,NEUTRAL,True,,12.535,"14.03,8.71,8.43,21.17,10.34","-11.67,-4.83,-16.77,-12.44,-30.99",9.321,0.236,10.98,-3.37,97.3,599
