id,code,date,signal,trigger_trailing,trigger_drift,trigger_sector_adv,logic_verdict,sector_risk,holding_risk,detail,recommend_log_id,is_stale,created_at
11,001154,2026-08-14,HOLD,0,0,0,维持,0,0,,5,0,2026-08-14 04:42:09
12,008640,2026-08-14,HOLD,0,0,0,维持,0,0,,4,0,2026-08-14 04:42:09
13,257070,2026-08-17,HOLD,0,0,0,维持,0,0,,7,0,2026-08-17 04:43:20
14,006502,2026-08-17,HOLD,0,0,0,维持,0,0,,6,0,2026-08-17 04:43:20
15,001154,2026-08-17,HOLD,0,0,0,维持,0,0,,5,0,2026-08-17 04:43:20
16,008640,2026-08-17,HOLD,0,0,0,维持,0,0,,4,0,2026-08-17 04:43:20
17,005571,2026-08-18,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,9,0,2026-08-18 04:42:26
18,006502,2026-08-18,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,8,0,2026-08-18 04:42:26
19,257070,2026-08-18,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,7,0,2026-08-18 04:42:26
20,001154,2026-08-18,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,5,0,2026-08-18 04:42:26
21,008640,2026-08-18,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,4,0,2026-08-18 04:42:26
22,004044,2026-08-19,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,11,0,2026-08-19 04:44:23
23,257070,2026-08-19,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,10,0,2026-08-19 04:44:23
24,005571,2026-08-19,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,9,0,2026-08-19 04:44:23
25,006502,2026-08-19,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,8,0,2026-08-19 04:44:24
26,001154,2026-08-19,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,5,0,2026-08-19 04:44:24
27,008640,2026-08-19,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,4,0,2026-08-19 04:44:24
28,004044,2026-08-20,WARNING,0,0,0,维持,0,0,模型信号相对买入分下降: 当前0.0302 < 买入0.0622的50%,11,0,2026-08-20 04:41:59
29,257070,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,10,0,2026-08-20 04:41:59
30,005571,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,9,0,2026-08-20 04:41:59
31,006502,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,8,0,2026-08-20 04:41:59
32,001154,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,5,0,2026-08-20 04:41:59
33,008640,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,4,0,2026-08-20 04:41:59
34,004044,2026-08-20,WARNING,0,0,0,维持,0,0,模型信号相对买入分下降: 当前0.0302 < 买入0.0622的50%,11,0,2026-08-20 06:30:07
35,257070,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,10,0,2026-08-20 06:30:07
36,005571,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,9,0,2026-08-20 06:30:07
37,006502,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,8,0,2026-08-20 06:30:07
38,001154,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,5,0,2026-08-20 06:30:07
39,008640,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,4,0,2026-08-20 06:30:07
40,006923,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,12,0,2026-08-20 07:01:24
41,004044,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,11,0,2026-08-20 07:01:24
42,257070,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,10,0,2026-08-20 07:01:24
43,005571,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,9,0,2026-08-20 07:01:24
44,006502,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,8,0,2026-08-20 07:01:24
45,001154,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,5,0,2026-08-20 07:01:24
46,008640,2026-08-20,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,4,0,2026-08-20 07:01:24
47,001466,2026-08-21,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,13,0,2026-08-21 04:52:30
48,006923,2026-08-21,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,12,0,2026-08-21 04:52:30
49,004044,2026-08-21,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,11,0,2026-08-21 04:52:30
50,257070,2026-08-21,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,10,0,2026-08-21 04:52:30
51,005571,2026-08-21,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,9,0,2026-08-21 04:52:30
52,006502,2026-08-21,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,8,0,2026-08-21 04:52:30
53,001154,2026-08-21,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,5,0,2026-08-21 04:52:30
54,008640,2026-08-21,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,4,0,2026-08-21 04:52:30
55,019879,2026-08-24,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,15,0,2026-08-24 04:43:45
56,022320,2026-08-24,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,14,0,2026-08-24 04:43:45
57,001466,2026-08-24,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,13,0,2026-08-24 04:43:45
58,006923,2026-08-24,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,12,0,2026-08-24 04:43:45
59,004044,2026-08-24,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,11,0,2026-08-24 04:43:45
60,257070,2026-08-24,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,10,0,2026-08-24 04:43:45
61,005571,2026-08-24,HOLD,0,0,0,维持,0,0,未触发任何异常信号，维持持有,9,0,2026-08-24 04:43:45
